mu	    sigma  H
0.5         0.6   -0.175219
0.7         0.6   -0.406511
0.7         0.5   -0.289567
0.7         0.7    -0.39025
0.8         0.7   -0.403013
0.8         0.6   -0.442611
0.81         0.6   -0.441834
0.8        0.61   -0.444258
0.81        0.61   -0.444025
0.8        0.62    -0.44376
0.79        0.61   -0.443482
